username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
|2018-03-11 20:07|4|9|"#SalonGeneve2018 Préparations uniques... ces voitures les plus WTF dévoilées au salon de Genève ! https:// fb.me/tHmYNA0B"|||#SalonGeneve2018|"972911792790876163"|https://twitter.com/turbofr/status/972911792790876163
|2018-03-11 20:04|4|3|"Audi, Italdesign et Airbus... comment se déplacer sur terre et dans les air ? http:// ift.tt/2p2tssB"||||"972911076672262146"|https://twitter.com/turbofr/status/972911076672262146
|2018-03-11 16:05|6|10|"#SalonGeneve2018 Voici celle qui sera peut-être la première à passer la barre des 500 km/h en vitesse de pointe ! https:// fb.me/7AtGrRzL2"|||#SalonGeneve2018|"972850935402819584"|https://twitter.com/turbofr/status/972850935402819584
|2018-03-11 12:04|8|20|"Aston Martin, BMW, Jaguar, Lexus... tous les modèles étrangers dévoilés à Genève http:// ift.tt/2DivMjs"||||"972790305358565378"|https://twitter.com/turbofr/status/972790305358565378
|2018-03-11 08:04|5|13|"Préparations uniques... ces voitures les plus WTF dévoilées au salon de Genève http:// ift.tt/2HqI4sD"||||"972729882475220992"|https://twitter.com/turbofr/status/972729882475220992
|2018-03-11 08:01|3|1|"Un petit avant goût de l'émission de tout à l'heure, consacrée au salon de l'automobile de Genève ! https:// fb.me/7MuG7zQVf"||||"972729099130167296"|https://twitter.com/turbofr/status/972729099130167296
|2018-03-10 20:56|3|6|"#SalonGeneve2018 Audi, BMW, Lagonda, Pininfarina... les concepts font le show à Genève ! https:// fb.me/445UyVaVh"|||#SalonGeneve2018|"972561737596710913"|https://twitter.com/turbofr/status/972561737596710913
|2018-03-10 19:52|1|7|"Hyundai Le Fil Rouge, un nom français pour ce concept coréen dévoilé à Genève http:// ift.tt/2p27TbB"||||"972545777380728833"|https://twitter.com/turbofr/status/972545777380728833
|2018-03-10 16:13|2|3|"Plus de 500 chevaux sous le capot du Mercedes-AMG G63 ! https:// fb.me/JTySwZsl"||||"972490519795429378"|https://twitter.com/turbofr/status/972490519795429378
|2018-03-10 16:07|4|9|"La Bugatti Chiron Sport : une version dédiée aux amateurs de conduite sportive http:// ift.tt/2FtMthS"||||"972489044314685442"|https://twitter.com/turbofr/status/972489044314685442
|2018-03-10 12:28|3|4|"#SalonGeneve2018 A l'occasion du salon de Genève, nous vous proposons de découvrir la très belle Ferrari 488... https:// fb.me/9tlZeHd37"|||#SalonGeneve2018|"972433910423543808"|https://twitter.com/turbofr/status/972433910423543808
|2018-03-10 12:17|9|18|"Ces voitures qui raclent le bitume en démonstration à Genève... toutes nos photos http:// ift.tt/2FsAGQL"||||"972431302786998272"|https://twitter.com/turbofr/status/972431302786998272
|2018-03-10 10:02|2|3|"Demain dans l'émission Turbo, découvrez les plus belles sportives et voitures de luxe du salon de l'automobile de... https:// fb.me/NIKIk3dN"||||"972397161337024513"|https://twitter.com/turbofr/status/972397161337024513
|2018-03-10 08:03|2|3|"#SalonGeneve2018 Le salon de l'automobile de Genève, c'est en ce moment... toutes les informations pratiques !... https:// fb.me/2woEI9sFc"|||#SalonGeneve2018|"972367225880502273"|https://twitter.com/turbofr/status/972367225880502273
|2018-03-09 20:17|5|10|"#SalonGeneve2018 Les tout-terrains les plus déjantés dévoilés au Salon de Genève... c'est la guerre ! https:// fb.me/Ir0ZM0kg"|||#SalonGeneve2018|"972189543817412608"|https://twitter.com/turbofr/status/972189543817412608
|2018-03-09 20:02|3|5|"Lagonda Vision Concept : le luxe électrique et autonome façon Aston Martin http:// ift.tt/2Hntfa5"||||"972185910400909312"|https://twitter.com/turbofr/status/972185910400909312
|2018-03-09 19:02|1|4|"Les tout-terrains les plus déjantés dévoilés au Salon de Genève : c'est la guerre ! http:// ift.tt/2txTV5S"||||"972170808410935298"|https://twitter.com/turbofr/status/972170808410935298
|2018-03-09 18:12|1|3|"Ford Mustang Bullitt : elle arrive enfin en Europe http:// ift.tt/2IfO7RY"||||"972158172839456773"|https://twitter.com/turbofr/status/972158172839456773
|2018-03-09 17:52|2|2|"#SalonGeneve2018 Des éditions spéciales pour les Maserati Ghibli, Quattroporte et Levante... https:// fb.me/8aH4EAE2E"|||#SalonGeneve2018|"972153056954642435"|https://twitter.com/turbofr/status/972153056954642435
|2018-03-09 16:10|2|0|"#SalonGeneve2018 EZ-GO... l'étrange véhicule autonome dévoilé par Renault ! https:// fb.me/9aB18ISsv"|||#SalonGeneve2018|"972127376913195011"|https://twitter.com/turbofr/status/972127376913195011
|2018-03-09 16:07|2|2|"Le 88ème salon de Genève - Emission TURBO du 11/03/2018 http:// ift.tt/2IcVwkS"||||"972126740557520897"|https://twitter.com/turbofr/status/972126740557520897
|2018-03-09 14:12|4|3|"Corbellati Missile, et si c'était la première hypercar à atteindre les 500 km/h ? http:// ift.tt/2FsJ3b0"||||"972097702862512128"|https://twitter.com/turbofr/status/972097702862512128
|2018-03-09 14:04|4|3|"#SalonGeneve2018 Créée sur la base d'une Ferrari F430 Scuderia, la nouvelle Stratos fait la belle à Genève ! https:// fb.me/2vQN6GreR"|||#SalonGeneve2018|"972095670445363201"|https://twitter.com/turbofr/status/972095670445363201
|2018-03-09 13:02|2|3|"Audi, BMW, Lagonda, Pininfarina... les concepts font le show à Genève, nos photos http:// ift.tt/2HjoVsj"||||"972080248492822528"|https://twitter.com/turbofr/status/972080248492822528
|2018-03-09 12:07|1|3|"Mercedes-AMG G63 : plus de 500 ch sous le capot, la démesure au quotidien http:// ift.tt/2p1Vx2n"||||"972066284778254337"|https://twitter.com/turbofr/status/972066284778254337
|2018-03-09 12:00|6|19|"#SalonGevene2018 Abarth, Lamborghini, Porsche, Toyota... les sportives font le show à Genève ! https:// fb.me/IEL6p6Tr"|||#SalonGevene2018|"972064484515827712"|https://twitter.com/turbofr/status/972064484515827712
|2018-03-09 11:12|4|6|"Subaru Viziv Tourer Concept, nos photos du break japonais musclé dévoilé à Genève http:// ift.tt/2oXOw2y"||||"972052443474382850"|https://twitter.com/turbofr/status/972052443474382850
|2018-03-09 11:07|7|6|"Les Sportives... toutes nos photos des bruleuses de gomme dévoilées à Genève http:// ift.tt/2FDz2eg"||||"972051177620885504"|https://twitter.com/turbofr/status/972051177620885504
|2018-03-09 10:07|1|2|"Le Mazda Vision Coupé reçoit le titre de « Concept Car de l'Année » http:// ift.tt/2FkKuMN"||||"972036068185919488"|https://twitter.com/turbofr/status/972036068185919488
|2018-03-09 10:06|1|4|"#SalonGeneve2018 A la découverte du Jeep Wrangler de 4ème génération ! toutes les infos -> http:// bit.ly/2FmOiwO https:// fb.me/7H9IOJaX1"|||#SalonGeneve2018|"972035798144028672"|https://twitter.com/turbofr/status/972035798144028672
|2018-03-09 08:57|2|1|"Présentation en vidéo du Lexus UX, premier SUV compact de la marque http:// ift.tt/2FFdKNx"||||"972018484342411264"|https://twitter.com/turbofr/status/972018484342411264
|2018-03-09 08:12|1|1|"Salon de Genève : des éditions Nerissimo pour les Maserati Ghibli, Quattroporte et Levante http:// ift.tt/2oWr9am"||||"972007089399726081"|https://twitter.com/turbofr/status/972007089399726081
|2018-03-09 08:01|2|2|"Il faudra dépenser plus de 54 000 euros pour s'offrir une Alpine A110 Pure ou Légende ! https:// fb.me/I99PMzGE"||||"972004332588564480"|https://twitter.com/turbofr/status/972004332588564480
|2018-03-08 20:07|3|0|"Renault EZ-GO : un robot-véhicule électrique conçu pour le transport en ville http:// ift.tt/2HituDv"||||"971824661720977409"|https://twitter.com/turbofr/status/971824661720977409
|2018-03-08 20:04|2|5|"#SalonGeneve2018 Ferrari 488 Pista... la version musclée de la 488 GTB ! https:// fb.me/12Awn7sJj"|||#SalonGeneve2018|"971823900211412993"|https://twitter.com/turbofr/status/971823900211412993
|2018-03-08 19:03|5|10|"SUV : toutes nos photos des différents modèles présentés à Genève http:// ift.tt/2oXzNVg"||||"971808537000243200"|https://twitter.com/turbofr/status/971808537000243200
|2018-03-08 18:17|1|1|"Des Volkswagen e-Golf et Passat GTE pour la Préfecture de Police de Paris http:// ift.tt/2HigYDI"||||"971797043244040192"|https://twitter.com/turbofr/status/971797043244040192
|2018-03-08 18:02|3|8|"#SalonGeneve2018 Alfa Romeo, Bentley,BMW, Cupra, Honda, Lamborhini... tous les SUV dévoilés à Genève ! https:// fb.me/OcXpOAe0"|||#SalonGeneve2018|"971793197021192192"|https://twitter.com/turbofr/status/971793197021192192
|2018-03-08 17:17|3|2|"A Genève, MAT a exposé sa (Lancia) Stratos remise au goût du jour http:// ift.tt/2FlKXhF"||||"971781903773773824"|https://twitter.com/turbofr/status/971781903773773824
|2018-03-08 16:17|1|0|"Ford Ecosport, un profond restylage - Emission TURBO du 04/03/2018 http:// ift.tt/2HgGHfQ"||||"971766852685766656"|https://twitter.com/turbofr/status/971766852685766656
|2018-03-08 16:01|1|0|"#SalonGeneve2018 Polestar 1... voici peut-être l'une des plus belles voitures du salon ! https:// fb.me/7p9L0HVTs"|||#SalonGeneve2018|"971762729622163456"|https://twitter.com/turbofr/status/971762729622163456
|2018-03-08 15:17|1|4|"La Mercedes Classe A à Genève, une évolution dans la continuité http:// ift.tt/2FjW4aM"||||"971751671960391680"|https://twitter.com/turbofr/status/971751671960391680
|2018-03-08 14:03|1|0|"Pneu Goodyear Oxygene, une mobilité urbaine plus propre et plus durable http:// ift.tt/2FmwF0c"||||"971733132616568834"|https://twitter.com/turbofr/status/971733132616568834
|2018-03-08 13:47|1|4|"#SalonGeneve2018 La révolution se fait surtout à l'intérieur pour la nouvelle Audi A6 ! https:// fb.me/1q167fAhg"|||#SalonGeneve2018|"971729000879009793"|https://twitter.com/turbofr/status/971729000879009793
|2018-03-08 13:12|1|1|"Le concept Porsche Mission E Cross Turismo en exhibition à Genève... nos photos http:// ift.tt/2G60a3F"||||"971720228563554304"|https://twitter.com/turbofr/status/971720228563554304
|2018-03-08 12:50|6|7|"#SalonGeneve2018 Corbellati Missile... et si ce bolide de 1800 chevaux était le premier à atteindre les 500 km/h ? https:// fb.me/47PNQLgd0"|||#SalonGeneve2018|"971714849565757440"|https://twitter.com/turbofr/status/971714849565757440
|2018-03-08 12:12|3|4|"Plus de 54.000 euros pour les Alpine A110 en version Pure ou Legende http:// ift.tt/2G7JOY0"||||"971705109540409344"|https://twitter.com/turbofr/status/971705109540409344
|2018-03-08 12:08|1|2|"La Peugeot 508 First Edition disponible à partir de 48 750 euros ! https:// fb.me/GAM5OXKN"||||"971704090102288384"|https://twitter.com/turbofr/status/971704090102288384
|2018-03-08 10:12|3|10|"La dernière création de Hofele-Design basée sur un Mercedes GLS http:// ift.tt/2FqxAZF"||||"971674927131779072"|https://twitter.com/turbofr/status/971674927131779072
|2018-03-08 10:10|13|23|"#SalonGeneve2018 Si vous êtes fans des M2, M3, M3 et autres sportives de chez BMW, alors nous avons une petite... https:// fb.me/1UMS40Aof"|||#SalonGeneve2018|"971674392404156417"|https://twitter.com/turbofr/status/971674392404156417
|2018-03-08 08:06|1|3|"#SalonGeneve2018 En suisse, nous avons pu découvrir le Ranger Rover SV Coupé... un SUV 2 portes produit à... https:// fb.me/QCMZxvXd"|||#SalonGeneve2018|"971643220697518080"|https://twitter.com/turbofr/status/971643220697518080
